X,ID,Run,tag_ID,lat,long,month,year,sample_loc,season,TotalLength,StandardLength,sclass,tissue_class,d15N,d13C,SL_est,est_age
1,1,A,TJ-170819-1,28.029533,-114.339297,8,2017,GuerreroNegro,Summer,84.5,71,Medium,Fin,18.212,-14.71302278,71,9.459848195
2,2,A,TJ-170723-3,26.226831,-112.458331,7,2017,SanJuanico,Summer,76,NA,Medium,Fin,17.523,-13.95216165,63.55745222,8.209738356
3,3,A,TJ-170804-3,26.559731,-113.084641,8,2017,ElDatil,Summer,66,54,Small,Fin,18.966,-14.25109602,54,6.699081611
4,5,A,TJ-170804-2,26.559731,-113.084641,8,2017,ElDatil,Summer,78,66,Medium,Fin,18.011,-14.51260461,66,8.612476235
5,7,A,TJ-170804-1,26.559731,-113.084641,8,2017,ElDatil,Summer,75,63,Medium,Fin,17.593,-14.4449277,63,8.118814934
6,9,A,TJ-170723-1,26.021758,-112.434045,7,2017,SanJuanico,Summer,74,NA,Medium,Fin,18.896,-14.3038696,61.86558766,7.934902007
7,10,A,TJ-170804-4,26.559731,-113.084641,8,2017,ElDatil,Summer,44,35,Small,Fin,18.066,-15.27005298,35,3.964836158
8,11,A,TJ-170819-2,28.029533,-114.339297,8,2017,GuerreroNegro,Summer,89,73,Medium,Fin,18.002,-13.80972924,73,9.807845696
9,12,A,TJ-170812-1,26.559731,-113.084641,8,2017,ElDatil,Summer,77,64,Medium,Fin,16.537,-16.15733112,64,8.282180162
10,14,A,TJ-170723-2,26.021758,-112.434045,7,2017,SanJuanico,Summer,71,NA,Medium,Fin,19.448,-14.413865,59.32779082,7.528780397
11,16,A,EN-170617-1,28.029533,-114.339297,6,2017,GuerreroNegro,Summer,95,80,Medium,Fin,17.876,-15.21691153,80,11.06959457
12,18,A,EN-170710-1,28.029533,-114.339297,7,2017,GuerreroNegro,Summer,171,NA,Large,Fin,18.159,-12.63681429,143.9210188,27.81204394
13,20,A,EN-170602-3,28.029533,-114.339297,6,2017,GuerreroNegro,Summer,134,NA,Large,Fin,18.816,-13.62841948,112.6215245,18.09908118
14,21,A,PA-170703-1,26.73388,-113.50588,7,2017,PuntaAbreojos,Summer,69,NA,Medium,Fin,18.931,-14.77955375,57.63592626,7.262009171
15,23,A,IN-180830-1A,27.93261,-115.1341,8,2018,IslaNatividad,Summer,120,98,Large,Fin,17.926,-14.1094062,98,14.67767195
16,26,A,BA-180929-1,28.98395,-113.19558,9,2018,BahiaDeLosAngeles,Fall,77,61.5,Medium,Fin,18.329,-13.55955041,61.5,7.875947986
17,28,A,SD-170803-1,33.157746,-117.361084,8,2017,Carlsbad,Summer,136,NA,Large,Fin,17.575,-13.27558886,114.313389,18.53039385
18,30,A,SD-181116-1,32.84944444,-117.3027778,11,2018,LaJolla,Fall,117,104,Large,Fin,16.334,-14.1025845,104,16.01995961
19,31,A,SD-181109-1,32.9825,-117.3036111,11,2018,LaJolla,Fall,148,126,Large,Fin,17.338,-13.46153011,126,21.75668555
20,1,B,EN-170819-2,28.029533,-114.339297,8,2017,GuerreroNegro,Summer,112,NA,Large,Fin,15.9503602,-13.10908255,94.0110143,13.82723087
21,2,B,EN-170606-1,26.559731,-113.084641,6,2017,LagunaSanIgnacio,Summer,195,NA,Large,Fin,18.78210751,-12.43104402,164.2233935,37.45870957
22,3,B,EN-170610-6,28.029533,-114.339297,6,2017,GuerreroNegro,Summer,70,NA,Medium,Fin,18.59179018,-14.71320899,58.48185854,7.395003368
23,6,B,EN-170602-2,28.029533,-114.339297,6,2017,GuerreroNegro,Summer,132,NA,Large,Fin,18.08397361,-14.49801683,110.9296599,17.67580164
