Confirmation,Type,Prey Item,Scientific Name,Habitat,Prey Length (cm),GSB Total Length (cm),Source
Direct Observation,Fish,Spotted Cusk Eel,Chilara taylori,Sandy,21.3,60.9,HSWRI
Direct Observation,Fish,Plainfin Midshipman,Porichthys notatus,Sandy,18.0,63.0,Isla Natividad Stomach 
Direct Observation,Fish,Hornyhead Turbot,Pleuronichthys verticalis,Sandy,15.1; 15.9,63.3,HSWRI
Direct Observation,Fish,Scorpionfish,Scorpaenidae spp. ,Rocky,17.8,69.1,HSWRI
Direct Observation,Fish,Sardine,Sardinops sagax,Open Water,NA,76.5,HSWRI; Feder et al. (1974); Baldwin and Keiser (2008)
Direct Observation,Fish,Cabezon,Scorpaenichthys marmoratus,Rocky/Sandy,"21.6, 27.0",78.8,HSWRI
Direct Observation,Fish,Barracuda,Sphryaena argentea,Open Water,NA,79.0,HSWRI
Direct Observation,Fish,Specklefin Midshipman,Porichthys myriaster,Sandy/Rocky,NA,79.1,HSWRI; Young (1969); Baldwin and Keiser (2008)
Direct Observation,Fish,Turbot,Unspecified,Sandy,NA,79.1,HSWRI
Direct Observation,Fish,Queenfish,Seriphus politus,Sandy,21.3,88.8,HSWRI
Direct Observation,Fish,Shovelnose Guitarfish,Rhinobatis productus,Sandy,"30.0, 60.0",141.3,Allen Necropsy
Direct Observation,Fish,White Croaker,Genyonemus lineatus,Sandy,18.3; NA,53.7; 86.7,HSWRI; Young (1969); Baldwin and Keiser (2008)
Direct Observation,Fish,Smooth stargazer,Kathetostoma averruncus,Sandy,NA,NA,SIO Vertebrate Collection
Direct Observation,Fish,Bat Ray,Myliobaus californica,Rocky/Sandy,NA,NA,Diver Video
Direct Observation,Invertebrate,Ghost Shrimp,Neotrypaea spp.,Sandy,NA,42.1,HSWRI
Direct Observation,Invertebrate,California Two-Spot Octopus,Octopus bimaculoides,Rocky,18.0,63.0,Isla Natividad Stomach 
Direct Observation,Invertebrate,Razor Clam,Tagelus spp.,Sandy,NA,79.1,HSWRI
Direct Observation,Invertebrate,Spiny Lobster,Panulirus interruptus,Rocky,NA,113.5,HSWRI; Diver Observation; Feder et al. (1974); Domeier (2001); Baldwin and Keiser (2008)
Direct Observation,Invertebrate,Graceful Crab,Metacarcinus gracilis,Sandy,8.0; 8.4; 9.0,137.0,Solana Beach Stomach
Direct Observation,Invertebrate,Armed Box Crab,Platymera gaudichaudii,Sandy,4.2; 5.4; 6.3; 6.5; 6.6; 7.0; 7.0; 7.1; 7.2; 7.3; 7.4; 7.6; 7.7,137.0,Solana Beach Stomach
Direct Observation,Invertebrate,Swimming Crab,Portunus xantusii,Sandy,6.1; 6.2; 6.3; 6.8,137.0,Solana Beach Stomach
Direct Observation,Invertebrate,Octopus,Unspecified,Rocky,NA,43.7; 46.6; 51.8; 61.5,HSWRI; Domeier (2001)
Direct Observation,Invertebrate,Red Crab,Pleuroncodes planipes,Rocky/Sandy/OpenWater,NA,85.0; 110.0 ,Isla Natividad Stomach;  Domeier (2001); Baldwin and Keiser (2008)
Direct Observation,Invertebrate,California Mantis Shrimp,Hemisquilla californiensis,Sandy,7.0; NA,90.0; 141.3,Isla Natividad Stomach; Allen Necropsy
Anecdotal,Fish,Sargo,Anisotremus davidsonii,Rocky/Sandy,NA,NA,Domeier (2001)
Anecdotal,Fish,Ocean Whitefish,Caulolatilus princeps,Rocky,NA,NA,Young (1969); Domeier (2001); Baldwin and Keiser (2008)
Anecdotal,Fish,Blacksmith,Chromis punctipinnis,Rocky,NA,NA,Domeier (2001)
Anecdotal,Fish,Anchovies,Engraulis mordax,Open Water,NA,NA,Young (1969); Baldwin and Keiser (2008)
Anecdotal,Fish,Kelp Bass,Paralabrax clathratus,Rocky/Sandy,NA,NA,Feder et al. (1974); Domeier (2001)
Anecdotal,Fish,Barred Sand Bass,Paralabrax nebulifer,Sandy,NA,NA,Young (1969); Domeier (2001); Baldwin and Keiser (2008)
Anecdotal,Fish,Pacific Bonito,Sarda chiliensis lineolata,Open Water,NA,NA,Feder et al. (1974); Baldwin and Keiser (2008)
Anecdotal,Fish,Pacific Mackerel,Scomber japonicus,Open Water,NA,NA,Baldwin and Keiser (2008)
Anecdotal,Fish,California Sheephead,Semicossyphus pulcher,Rocky,NA,NA,Young (1969); Domeier (2001); Baldwin and Keiser (2008)
Anecdotal,Fish,Pacific Jack Mackerel,Trachurus symmetricus,Open Water,NA,NA,Young (1969); Baldwin and Keiser (2008)
Anecdotal,Fish,Sting Ray,Unspecified,Sandy,NA,NA,Domeier (2001); Baldwin and Keiser (2008)
Anecdotal,Fish,Skates,Unspecified,Sandy,NA,NA,Domeier (2001)
Anecdotal,Invertebrate,Cancer Crabs ,Cancridae spp. ,Rocky/Sandy,NA,NA,Baldwin and Keiser (2008)
Anecdotal,Invertebrate,Squid,Unspecified,Open Water,NA,NA,Feder et al. (1974); Domeier (2001); Baldwin and Keiser (2008)
